h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,total,name,start_time
3,3,3,4,4,3,4,3,4,4,3,4,3,4,3,6,4,2,64,Queenstown Gardens,1396500293560
3,3,3,5,5,5,3,4,3,4,3,4,4,5,4,5,3,3,69,Queenstown Gardens,1396585538838
3,3,3,3,3,3,3,4,4,3,2,3,5,5,3,3,2,3,58,Queenstown Gardens,1396662253500
3,2,2,4,3,3,4,4,4,3,3,4,3,5,3,4,3,4,61,Queenstown Gardens,1396667330579
4,4,3,3,3,3,4,3,3,3,2,3,5,5,3,3,4,2,60,Queenstown Gardens,1396753943554
3,3,3,3,2,3,4,3,4,4,3,4,4,5,3,3,3,3,60,Queenstown Gardens,1396934474423
4,4,2,5,3,3,3,3,4,5,3,3,4,5,3,4,2,4,64,Queenstown Gardens,1397000901246
4,2,2,4,3,3,4,3,3,3,3,4,4,5,3,5,3,3,61,Queenstown Gardens,1397107255543
3,3,2,5,3,3,5,2,4,3,2,4,4,6,2,5,3,2,61,Queenstown Gardens,1397268355739
3,3,3,5,4,3,3,4,4,3,3,3,5,5,4,5,3,4,67,Queenstown Gardens,1397454255940
3,2,2,4,3,2,4,5,3,3,3,4,5,6,4,4,4,3,64,Queenstown Gardens,1397970723662
3,3,3,3,3,3,3,2,3,3,4,3,5,5,3,4,3,3,59,Queenstown Gardens,1398047270924
3,3,2,7,4,4,4,2,3,3,2,4,4,5,3,5,2,3,63,Queenstown Gardens,1398228899273
2,3,3,3,2,2,3,2,4,3,3,4,4,5,3,5,2,3,56,Queenstown Gardens,1398729974459
3,4,3,4,2,3,3,4,4,3,3,3,4,6,3,3,2,3,60,Queenstown Gardens,1398816594300
4,3,3,4,3,2,4,3,5,5,5,4,5,6,4,4,4,3,71,Queenstown Gardens,1399335082364
4,2,4,3,3,3,3,3,3,3,3,5,3,5,3,4,3,4,61,Queenstown Gardens,1399779185551
6,4,3,5,3,5,3,3,4,4,3,4,5,6,4,5,3,5,75,Queenstown Gardens,1401061963410
3,3,3,5,4,5,2,3,4,3,2,4,4,5,2,4,3,4,63,Queenstown Gardens,1401500298154
4,2,2,3,3,3,3,2,4,2,3,4,3,4,3,5,2,3,55,Queenstown Gardens,1401587857205
4,3,2,5,4,3,4,3,4,3,2,3,3,5,3,4,4,3,62,Queenstown Gardens,1402363239911
5,2,4,5,2,4,3,2,5,4,2,3,4,5,4,5,2,3,64,Queenstown Gardens,1402884562467
3,2,5,4,5,5,3,2,3,4,1,5,5,7,3,4,2,3,66,Queenstown Gardens,1403137919710
3,5,3,5,2,4,5,5,4,3,3,4,5,3,3,5,4,4,70,Queenstown Gardens,1403226645475
4,3,2,3,3,3,3,4,3,4,2,3,4,4,3,3,2,2,55,Queenstown Gardens,1403313683863
3,2,5,4,2,5,2,2,3,2,2,4,4,4,3,5,3,5,60,Queenstown Gardens,1404014451110
3,3,3,4,2,3,5,3,4,3,2,3,7,5,2,5,2,3,62,Queenstown Gardens,1404528638148
4,2,4,4,3,3,3,3,4,3,3,5,4,5,4,4,2,3,63,Queenstown Gardens,1404952563133
3,3,2,3,3,4,3,3,3,4,3,3,5,4,3,6,2,3,60,Queenstown Gardens,1405557002586
3,3,3,4,2,5,3,3,3,4,2,5,3,6,3,5,2,3,62,Queenstown Gardens,1405738111964
4,3,3,3,3,3,4,5,4,3,3,3,3,3,3,4,3,5,62,Queenstown Gardens,1405828626732
3,3,4,5,3,2,3,2,4,4,2,3,4,6,2,5,2,3,60,Queenstown Gardens,1406508316311
3,3,2,4,2,3,4,3,4,4,3,4,4,5,3,5,3,2,61,Queenstown Gardens,1407030029344
3,2,2,4,2,3,3,3,3,3,4,2,4,4,3,4,2,3,54,Queenstown Gardens,1408766548636
3,3,3,4,2,2,4,2,2,3,2,3,4,4,3,5,3,3,55,Queenstown Gardens,1408853305629
2,4,2,5,2,5,3,3,3,2,3,4,4,5,2,4,2,2,57,Queenstown Gardens,1409451548435
3,3,3,4,2,3,3,3,3,2,2,3,4,4,2,3,3,2,52,Queenstown Gardens,1409457027118
4,3,2,3,3,3,3,3,3,3,3,3,4,5,3,5,2,4,59,Queenstown Gardens,1409878868392
2,2,2,5,3,2,4,3,3,3,2,3,3,6,4,5,4,3,59,Queenstown Gardens,1409955602056
4,3,3,4,3,2,4,2,4,2,3,3,4,5,2,4,3,3,58,Queenstown Gardens,1410062312248
3,3,3,4,4,4,3,2,3,3,2,3,5,5,3,4,2,3,59,Queenstown Gardens,1410668944616
3,3,3,5,3,4,3,3,3,3,2,3,4,4,3,3,2,4,58,Queenstown Gardens,1411791356971
4,2,3,4,4,4,5,3,3,3,3,4,4,5,3,3,3,3,63,Queenstown Gardens,1411965476814
3,3,2,4,4,4,4,4,4,3,3,3,5,5,3,4,3,3,64,Queenstown Gardens,1412050821673
3,3,2,3,3,4,4,3,4,4,4,3,4,5,3,4,3,3,62,Queenstown Gardens,1412224662390
3,3,3,4,3,2,3,4,4,3,3,3,5,4,4,4,3,3,61,Queenstown Gardens,1412916134970
3,5,2,4,3,3,5,3,3,5,3,4,4,4,3,4,2,2,62,Queenstown Gardens,1416104093921
3,2,3,4,3,3,3,4,4,2,3,3,4,5,4,4,3,3,60,Queenstown Gardens,1416201385228
3,3,3,6,3,4,4,3,4,4,3,3,4,5,3,4,2,4,65,Queenstown Gardens,1416370533357
2,2,2,5,2,3,5,3,3,5,4,3,6,4,3,5,2,3,62,Queenstown Gardens,1416457784119
3,3,3,4,3,4,3,3,5,4,3,3,4,4,2,4,3,3,61,Queenstown Gardens,1416803001150
3,3,4,3,2,3,4,2,5,3,4,3,3,5,3,3,2,3,58,Queenstown Gardens,1416807987700
3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,2,55,Queenstown Gardens,1417062099687
3,4,4,4,2,3,3,3,3,4,4,4,3,4,4,4,3,3,62,Queenstown Gardens,1417149347995
3,2,3,3,2,2,3,3,4,3,3,3,4,5,3,3,2,3,54,Queenstown Gardens,1417325921027
3,3,2,4,3,3,3,3,3,3,3,5,6,4,3,4,3,3,61,Queenstown Gardens,1417408057947
3,2,2,5,2,3,3,4,2,2,2,3,4,4,2,4,3,4,54,Queenstown Gardens,1417494993604
3,3,3,6,2,3,3,3,4,3,3,5,5,4,3,4,2,4,63,Queenstown Gardens,1417580649176
